ms,speed,elevation,temperature,cadence,power,distance,positional
0,0.0,0.0,784.4,31.0,38.0,0.0,44.55113
1000,0.0176,1.0,784.39,31.02,38.0,0.0,44.55113
137999,,,,,,,
138000,2.426,199.0,783.6,34.0,38.0,0.02,44.55118
139000,2.594,200.0,783.6,34.0,46.0,2.53,44.5512
140000,2.995,222.0,783.6,34.0,46.0,5.42,44.55123
141000,2.995,222.0,783.6,34.0,50.0,8.54,44.55125
142000,3.126,213.0,783.6,34.0,51.0,11.83,44.55128
143000,3.098,243.0,783.6,34.0,51.0,15.17,44.55131
144000,3.172,304.0,783.6,34.0,52.0,18.56,44.55134
145000,3.378,358.0,783.6,34.0,57.0,22.0,44.55137
146000,3.508,330.0,783.8,34.0,60.0,25.66,44.5514
147000,3.49,333.0,783.8,34.0,60.0,29.48,44.55143
148000,3.48,303.0,783.8,34.0,60.0,33.4,44.55147
149000,3.452,303.0,784.0,34.0,57.0,37.27,44.5515
150000,2.958,279.0,784.0,34.0,51.0,40.85,44.55154
151000,3.331,339.0,784.2,34.0,51.0,44.44,44.55157
152000,3.163,339.0,784.6,34.0,51.0,48.16,44.5516
153000,3.322,341.0,785.0,34.0,53.0,51.77,44.55163
154000,3.415,337.0,785.4,34.0,54.0,55.48,44.55166
155000,3.518,311.0,785.6,34.0,54.0,59.6,44.5517
156000,3.462,346.0,785.8,34.0,52.0,63.45,44.55173
157000,3.723,376.0,786.0,34.0,53.0,67.53,44.55177
158000,3.779,334.0,786.4,34.0,53.0,71.58,44.55181
159000,3.695,308.0,786.8,34.0,53.0,75.63,44.55184
160000,3.63,326.0,787.2,34.0,53.0,79.55,44.55188
161000,3.76,326.0,787.4,34.0,54.0,83.3,44.55191
162000,3.882,321.0,787.6,34.0,56.0,87.22,44.55194
163000,4.133,307.0,788.0,34.0,58.0,91.58,44.55199
164000,3.854,308.0,788.4,34.0,59.0,95.66,44.55202
165000,3.798,234.0,788.8,34.0,57.0,99.68,44.55206
166000,3.779,229.0,789.0,34.0,76.0,103.56,44.55209
167000,3.518,188.0,789.2,34.0,79.0,107.27,44.55212
168000,3.415,198.0,789.6,34.0,76.0,110.76,44.55215
169000,3.284,258.0,789.8,34.0,76.0,114.14,44.55219
170000,3.275,275.0,790.2,34.0,76.0,117.35,44.55221
171000,3.312,274.0,790.4,34.0,76.0,120.67,44.55224
172000,3.331,274.0,790.6,34.0,77.0,124.26,44.55228
173000,3.294,284.0,790.8,34.0,77.0,127.59,44.5523
174000,3.312,293.0,791.2,34.0,77.0,131.05,44.55234
175000,3.434,260.0,791.8,34.0,76.0,134.6,44.55237
176000,3.518,270.0,792.0,34.0,76.0,138.27,44.5524
177000,3.434,268.0,792.4,34.0,76.0,142.03,44.55243
178000,3.452,271.0,792.6,34.0,76.0,145.71,44.55246
179000,3.378,271.0,793.0,34.0,77.0,149.2,44.5525
180000,3.415,301.0,793.0,34.0,79.0,152.76,44.55253
181000,3.527,257.0,793.2,34.0,79.0,156.48,44.55256
182000,3.648,210.0,793.6,34.0,72.0,160.38,44.5526
183000,3.518,254.0,793.8,34.0,71.0,164.07,44.55263
184000,3.406,271.0,794.0,34.0,70.0,167.47,44.55266
185000,3.284,287.0,794.4,34.0,69.0,170.74,44.55269
186000,3.098,281.0,794.8,34.0,68.0,173.95,44.55272
187000,3.032,264.0,795.0,34.0,69.0,176.97,44.55275
188000,2.958,260.0,795.4,34.0,68.0,180.14,44.55277
189000,2.93,288.0,795.6,34.0,68.0,182.95,44.5528
190000,2.967,293.0,795.6,34.0,69.0,185.97,44.55283
191000,3.238,272.0,796.0,34.0,70.0,189.17,44.55285
192000,3.135,292.0,796.2,34.0,73.0,192.52,44.55288
193000,3.023,258.0,796.4,34.0,78.0,195.65,44.55291
194000,3.023,262.0,796.8,34.0,77.0,198.69,44.55294
195000,3.182,287.0,796.8,34.0,77.0,202.16,44.55297
196000,3.415,288.0,797.2,34.0,78.0,205.59,44.553
197000,3.471,295.0,797.4,34.0,79.0,209.24,44.55304
198000,3.443,244.0,797.6,34.0,79.0,212.87,44.55307
199000,3.322,216.0,797.8,34.0,77.0,216.44,44.5531
200000,3.2,222.0,798.2,34.0,76.0,220.01,44.55313
201000,3.07,229.0,798.6,34.0,75.0,223.3,44.55316
202000,3.051,252.0,798.8,34.0,73.0,226.64,44.55319
203000,3.21,234.0,799.0,34.0,71.0,230.12,44.55322
204000,3.415,267.0,799.4,34.0,71.0,233.88,44.55325
205000,3.312,264.0,799.6,34.0,71.0,237.48,44.55328
206000,3.275,264.0,800.0,34.0,71.0,240.97,44.55331
207000,3.144,264.0,800.4,34.0,74.0,244.23,44.55334
208000,3.172,251.0,800.6,34.0,73.0,247.37,44.55337
209000,3.219,291.0,801.0,34.0,74.0,250.46,44.5534
210000,3.434,292.0,801.4,34.0,76.0,253.99,44.55343
211000,3.508,302.0,801.6,34.0,79.0,257.5,44.55346
212000,3.518,259.0,801.8,34.0,80.0,261.08,44.55349
213000,3.434,292.0,802.2,34.0,79.0,264.56,44.55352
214000,3.462,276.0,802.4,34.0,79.0,268.05,44.55355
215000,3.499,322.0,802.6,34.0,81.0,271.63,44.55359
216000,3.555,306.0,803.0,34.0,83.0,275.15,44.55361
217000,3.639,302.0,803.2,35.0,84.0,278.77,44.55364
218000,3.639,273.0,803.4,35.0,86.0,282.46,44.55367
219000,3.658,274.0,803.6,35.0,84.0,286.24,44.5537
220000,3.742,328.0,803.8,35.0,84.0,290.08,44.55372
221000,3.854,316.0,804.0,35.0,87.0,293.93,44.55375
222000,3.751,255.0,804.2,35.0,86.0,297.83,44.55378
223000,3.639,261.0,804.6,35.0,83.0,301.68,44.5538
224000,3.592,262.0,804.8,35.0,83.0,305.41,44.55383
225000,3.443,239.0,805.0,35.0,80.0,309.15,44.55386
226000,3.359,247.0,805.4,35.0,77.0,312.65,44.55388
227000,3.387,272.0,805.4,35.0,76.0,316.2,44.55391
228000,3.462,297.0,805.8,35.0,77.0,319.7,44.55393
229000,3.378,271.0,806.2,35.0,62.0,323.27,44.55396
230000,3.079,256.0,806.4,35.0,62.0,326.6,44.55398
231000,3.434,256.0,806.6,35.0,47.0,330.0,44.554
232000,3.499,0.0,806.8,35.0,47.0,333.63,44.55403
233000,3.396,0.0,807.2,35.0,0.0,337.17,44.55405
234000,3.275,0.0,807.4,35.0,0.0,340.61,44.55408
235000,3.182,0.0,807.6,35.0,0.0,343.95,44.5541
236000,3.247,0.0,808.0,35.0,0.0,347.27,44.55413
237000,3.144,0.0,808.4,35.0,0.0,350.5,44.55415
238000,3.098,280.0,808.8,35.0,50.0,353.74,44.55417
239000,3.023,228.0,809.0,35.0,48.0,356.9,44.55419
240000,3.051,221.0,809.4,35.0,46.0,360.08,44.55421
241000,2.865,229.0,809.6,35.0,45.0,363.07,44.55423
242000,2.827,190.0,810.0,35.0,45.0,366.07,44.55424
243000,2.519,190.0,810.2,35.0,47.0,368.93,44.55426
244000,2.799,238.0,810.6,35.0,45.0,371.76,44.55428
245000,2.874,322.0,811.0,35.0,48.0,374.85,44.55431
246000,3.191,335.0,811.2,35.0,53.0,378.09,44.55433
247000,3.079,257.0,811.4,35.0,53.0,381.35,44.55435
248000,3.116,257.0,811.8,35.0,53.0,384.68,44.55437
249000,3.34,257.0,812.0,35.0,53.0,388.21,44.5544
250000,3.256,314.0,812.2,35.0,53.0,391.64,44.55442
